id,code,name,description
catalog07_10,10,Gravado - Operación Onerosa,1000
catalog07_11,11,Gravado – Retiro por premio,9996
catalog07_12,12,Gravado – Retiro por donación,9996
catalog07_13,13,Gravado – Retiro ,9996
catalog07_14,14,Gravado – Retiro por publicidad,9996
catalog07_15,15,Gravado – Bonificaciones,9996
catalog07_16,16,Gravado – Retiro por entrega a trabajadores,9996
catalog07_17,17,Gravado - IVAP,1016 o 9996
catalog07_20,20,Exonerado - Operación Onerosa,9997
catalog07_21,21,Exonerado - Transferencia gratuita,9996
catalog07_30,30,Inafecto - Operación Onerosa,9998
catalog07_31,31,Inafecto – Retiro por Bonificación,9996
catalog07_32,32,Inafecto – Retiro,9996
catalog07_33,33,Inafecto – Retiro por Muestras Médicas,9996
catalog07_34,34,Inafecto - Retiro por Convenio Colectivo,9996
catalog07_35,35,Inafecto – Retiro por premio,9996
catalog07_36,36,Inafecto - Retiro por publicidad,9996
catalog07_37,37,Inafecto - Transferencia gratuita,9996
catalog07_40,40,Exportación de Bienes o Servicios,9995 o 9996
